iter	Passed	Remaining
0	2	200
1	3	191
2	5	183
3	6	167
4	8	167
5	10	171
6	13	172
7	14	171
8	16	167
9	18	166
10	20	163
11	21	160
12	24	160
13	25	158
14	27	157
15	29	156
16	31	153
17	33	150
18	34	147
19	36	144
20	37	142
21	39	141
22	41	138
23	43	137
24	45	135
25	46	132
26	48	130
27	49	128
28	51	125
29	52	123
30	55	122
31	56	120
32	58	118
33	60	116
34	61	114
35	63	112
36	65	110
37	66	108
38	68	107
39	70	106
40	72	104
41	73	101
42	74	99
43	76	97
44	78	95
45	79	93
46	81	92
47	83	90
48	85	88
49	86	86
50	88	85
51	90	83
52	92	81
53	93	80
54	95	77
55	97	76
56	98	74
57	101	73
58	102	71
59	104	69
60	105	67
61	108	66
62	109	64
63	111	62
64	113	61
65	114	59
66	116	57
67	118	55
68	119	53
69	121	51
70	122	50
71	124	48
72	125	46
73	127	44
74	129	43
75	131	41
76	133	39
77	134	37
78	136	36
79	137	34
80	140	32
81	142	31
82	143	29
83	145	27
84	146	25
85	148	24
86	149	22
87	151	20
88	152	18
89	154	17
90	156	15
91	158	13
92	159	12
93	161	10
94	162	8
95	164	6
96	166	5
97	167	3
98	169	1
99	170	0
